Date,Day week,Holiday,Power (kW) [Y],Temperature (C) [X],Power-1,Hour,HDH
2015-12-04 19:00:00,6.0,0.0,1462.0,16.2,1781.0,19,0.0
2015-12-04 20:00:00,6.0,0.0,1144.0,15.9,1462.0,20,0.09999999999999964
2015-12-04 21:00:00,6.0,0.0,982.0,15.6,1144.0,21,0.40000000000000036
2015-12-04 22:00:00,6.0,0.0,890.0,15.2,982.0,22,0.8000000000000007
2015-12-04 23:00:00,6.0,0.0,862.0,14.5,890.0,23,1.5
2015-12-05 00:00:00,7.0,0.0,812.0,14.4,862.0,0,1.5999999999999996
2015-12-05 01:00:00,7.0,0.0,799.0,13.9,812.0,1,2.0999999999999996
2015-12-05 02:00:00,7.0,0.0,799.0,13.2,799.0,2,2.8000000000000007
2015-12-05 03:00:00,7.0,0.0,787.0,12.6,799.0,3,3.4000000000000004
2015-12-05 04:00:00,7.0,0.0,764.0,12.1,787.0,4,3.9000000000000004
2015-12-05 05:00:00,7.0,0.0,735.0,11.9,764.0,5,4.1
2015-12-05 06:00:00,7.0,0.0,741.0,11.4,735.0,6,4.6
2015-12-05 07:00:00,7.0,0.0,794.0,11.6,741.0,7,4.4
2015-12-05 08:00:00,7.0,0.0,860.0,11.4,794.0,8,4.6
2015-12-05 09:00:00,7.0,0.0,857.0,11.3,860.0,9,4.699999999999999
2015-12-05 10:00:00,7.0,0.0,877.0,12.4,857.0,10,3.5999999999999996
2015-12-05 11:00:00,7.0,0.0,871.0,13.6,877.0,11,2.4000000000000004
2015-12-05 12:00:00,7.0,0.0,892.0,16.2,871.0,12,0.0
2015-12-05 13:00:00,7.0,0.0,888.0,17.7,892.0,13,0.0
2015-12-05 14:00:00,7.0,0.0,902.0,17.4,888.0,14,0.0
2015-12-05 15:00:00,7.0,0.0,907.0,18.5,902.0,15,0.0
2015-12-05 16:00:00,7.0,0.0,906.0,18.4,907.0,16,0.0
2015-12-05 17:00:00,7.0,0.0,932.0,16.8,906.0,17,0.0
2015-12-05 18:00:00,7.0,0.0,907.0,15.0,932.0,18,1.0
2015-12-05 19:00:00,7.0,0.0,862.0,14.3,907.0,19,1.6999999999999993
2015-12-05 20:00:00,7.0,0.0,841.0,14.2,862.0,20,1.8000000000000007
2015-12-05 21:00:00,7.0,0.0,810.0,14.3,841.0,21,1.6999999999999993
2015-12-05 22:00:00,7.0,0.0,786.0,13.9,810.0,22,2.0999999999999996
2015-12-05 23:00:00,7.0,0.0,776.0,13.5,786.0,23,2.5
2015-12-06 00:00:00,1.0,0.0,771.0,13.0,776.0,0,3.0
2015-12-06 01:00:00,1.0,0.0,769.0,12.2,771.0,1,3.8000000000000007
2015-12-06 02:00:00,1.0,0.0,758.0,11.6,769.0,2,4.4
2015-12-06 03:00:00,1.0,0.0,760.0,10.9,758.0,3,5.1
2015-12-06 04:00:00,1.0,0.0,734.0,9.6,760.0,4,6.4
2015-12-06 05:00:00,1.0,0.0,727.0,8.9,734.0,5,7.1
2015-12-06 06:00:00,1.0,0.0,728.0,9.4,727.0,6,6.6
2015-12-06 07:00:00,1.0,0.0,719.0,9.3,728.0,7,6.699999999999999
2015-12-06 08:00:00,1.0,0.0,719.0,9.1,719.0,8,6.9
2015-12-06 09:00:00,1.0,0.0,725.0,9.1,719.0,9,6.9
2015-12-06 10:00:00,1.0,0.0,744.0,9.3,725.0,10,6.699999999999999
2015-12-06 11:00:00,1.0,0.0,743.0,9.5,744.0,11,6.5
2015-12-06 12:00:00,1.0,0.0,748.0,9.6,743.0,12,6.4
2015-12-06 13:00:00,1.0,0.0,739.0,10.1,748.0,13,5.9
2015-12-06 14:00:00,1.0,0.0,756.0,11.0,739.0,14,5.0
2015-12-06 15:00:00,1.0,0.0,779.0,12.2,756.0,15,3.8000000000000007
2015-12-06 16:00:00,1.0,0.0,798.0,11.8,779.0,16,4.199999999999999
2015-12-06 17:00:00,1.0,0.0,832.0,11.4,798.0,17,4.6
2015-12-06 18:00:00,1.0,0.0,830.0,14.4,832.0,18,1.5999999999999996
2015-12-06 19:00:00,1.0,0.0,833.0,14.0,830.0,19,2.0
2015-12-06 20:00:00,1.0,0.0,809.0,13.7,833.0,20,2.3000000000000007
2015-12-06 21:00:00,1.0,0.0,797.0,13.5,809.0,21,2.5
2015-12-06 22:00:00,1.0,0.0,790.0,13.2,797.0,22,2.8000000000000007
2015-12-06 23:00:00,1.0,0.0,793.0,13.0,790.0,23,3.0
2015-12-07 00:00:00,2.0,0.0,787.0,12.4,793.0,0,3.5999999999999996
2015-12-07 01:00:00,2.0,0.0,770.0,12.7,787.0,1,3.3000000000000007
2015-12-07 02:00:00,2.0,0.0,770.0,12.6,770.0,2,3.4000000000000004
2015-12-07 03:00:00,2.0,0.0,752.0,12.4,770.0,3,3.5999999999999996
2015-12-07 04:00:00,2.0,0.0,745.0,12.3,752.0,4,3.6999999999999993
2015-12-07 05:00:00,2.0,0.0,766.0,12.4,745.0,5,3.5999999999999996
2015-12-07 06:00:00,2.0,0.0,812.0,12.1,766.0,6,3.9000000000000004
2015-12-07 07:00:00,2.0,0.0,1108.0,12.2,812.0,7,3.8000000000000007
2015-12-07 08:00:00,2.0,0.0,1527.0,12.6,1108.0,8,3.4000000000000004
2015-12-07 09:00:00,2.0,0.0,2042.0,12.5,1527.0,9,3.5
2015-12-07 10:00:00,2.0,0.0,2322.0,12.8,2042.0,10,3.1999999999999993
2015-12-07 11:00:00,2.0,0.0,2329.0,13.4,2322.0,11,2.5999999999999996
2015-12-07 12:00:00,2.0,0.0,2272.0,14.1,2329.0,12,1.9000000000000004
2015-12-07 13:00:00,2.0,0.0,2244.0,14.6,2272.0,13,1.4000000000000004
2015-12-07 14:00:00,2.0,0.0,2081.0,14.7,2244.0,14,1.3000000000000007
2015-12-07 15:00:00,2.0,0.0,2108.0,14.7,2081.0,15,1.3000000000000007
2015-12-07 16:00:00,2.0,0.0,2290.0,14.5,2108.0,16,1.5
2015-12-07 17:00:00,2.0,0.0,2027.0,14.3,2290.0,17,1.6999999999999993
2015-12-07 18:00:00,2.0,0.0,245.0,14.2,2027.0,18,1.8000000000000007
2015-12-07 20:00:00,2.0,0.0,681.0,13.9,245.0,20,2.0999999999999996
2015-12-07 21:00:00,2.0,0.0,974.0,13.4,681.0,21,2.5999999999999996
2015-12-07 22:00:00,2.0,0.0,895.0,12.8,974.0,22,3.1999999999999993
2015-12-07 23:00:00,2.0,0.0,853.0,12.3,895.0,23,3.6999999999999993
2015-12-08 00:00:00,3.0,1.0,822.0,12.1,853.0,0,3.9000000000000004
2015-12-08 01:00:00,3.0,1.0,808.0,11.8,822.0,1,4.199999999999999
2015-12-08 02:00:00,3.0,1.0,800.0,11.6,808.0,2,4.4
2015-12-08 03:00:00,3.0,1.0,778.0,11.6,800.0,3,4.4
2015-12-08 04:00:00,3.0,1.0,772.0,11.4,778.0,4,4.6
2015-12-08 05:00:00,3.0,1.0,304.0,11.4,772.0,5,4.6
2015-12-09 12:00:00,4.0,0.0,1856.0,13.6,304.0,12,2.4000000000000004
2015-12-09 13:00:00,4.0,0.0,2307.0,14.3,1856.0,13,1.6999999999999993
2015-12-09 14:00:00,4.0,0.0,2263.0,14.8,2307.0,14,1.1999999999999993
2015-12-09 15:00:00,4.0,0.0,346.0,14.9,2263.0,15,1.0999999999999996
2015-12-09 17:00:00,4.0,0.0,840.0,14.9,346.0,17,1.0999999999999996
2015-12-09 18:00:00,4.0,0.0,1919.0,15.0,840.0,18,1.0
2015-12-09 19:00:00,4.0,0.0,1563.0,14.6,1919.0,19,1.4000000000000004
2015-12-09 20:00:00,4.0,0.0,1234.0,14.4,1563.0,20,1.5999999999999996
2015-12-09 21:00:00,4.0,0.0,1073.0,14.3,1234.0,21,1.6999999999999993
2015-12-09 22:00:00,4.0,0.0,1005.0,14.1,1073.0,22,1.9000000000000004
2015-12-09 23:00:00,4.0,0.0,924.0,13.9,1005.0,23,2.0999999999999996
2015-12-10 00:00:00,5.0,0.0,875.0,13.8,924.0,0,2.1999999999999993
2015-12-10 01:00:00,5.0,0.0,853.0,13.6,875.0,1,2.4000000000000004
2015-12-10 02:00:00,5.0,0.0,851.0,13.5,853.0,2,2.5
2015-12-10 03:00:00,5.0,0.0,833.0,13.4,851.0,3,2.5999999999999996
2015-12-10 04:00:00,5.0,0.0,808.0,13.3,833.0,4,2.6999999999999993
2015-12-10 05:00:00,5.0,0.0,818.0,13.3,808.0,5,2.6999999999999993
2015-12-10 06:00:00,5.0,0.0,877.0,13.2,818.0,6,2.8000000000000007
2015-12-10 07:00:00,5.0,0.0,1173.0,13.2,877.0,7,2.8000000000000007
2015-12-10 08:00:00,5.0,0.0,1571.0,13.1,1173.0,8,2.9000000000000004
2015-12-10 09:00:00,5.0,0.0,1931.0,13.1,1571.0,9,2.9000000000000004
2015-12-10 10:00:00,5.0,0.0,2343.0,13.1,1931.0,10,2.9000000000000004
2015-12-10 11:00:00,5.0,0.0,2365.0,13.2,2343.0,11,2.8000000000000007
2015-12-10 12:00:00,5.0,0.0,2272.0,13.5,2365.0,12,2.5
2015-12-10 13:00:00,5.0,0.0,2239.0,13.9,2272.0,13,2.0999999999999996
2015-12-10 14:00:00,5.0,0.0,2353.0,14.4,2239.0,14,1.5999999999999996
2015-12-10 15:00:00,5.0,0.0,2281.0,15.0,2353.0,15,1.0
2015-12-10 16:00:00,5.0,0.0,2318.0,15.1,2281.0,16,0.9000000000000004
2015-12-10 17:00:00,5.0,0.0,2099.0,14.8,2318.0,17,1.1999999999999993
2015-12-10 18:00:00,5.0,0.0,1823.0,14.6,2099.0,18,1.4000000000000004
2015-12-10 19:00:00,5.0,0.0,1507.0,14.2,1823.0,19,1.8000000000000007
2015-12-10 20:00:00,5.0,0.0,1227.0,13.8,1507.0,20,2.1999999999999993
2015-12-10 21:00:00,5.0,0.0,1048.0,13.5,1227.0,21,2.5
2015-12-10 22:00:00,5.0,0.0,976.0,13.1,1048.0,22,2.9000000000000004
2015-12-10 23:00:00,5.0,0.0,939.0,12.8,976.0,23,3.1999999999999993
2015-12-11 00:00:00,6.0,0.0,867.0,12.6,939.0,0,3.4000000000000004
2015-12-11 01:00:00,6.0,0.0,853.0,12.1,867.0,1,3.9000000000000004
2015-12-11 02:00:00,6.0,0.0,836.0,11.7,853.0,2,4.300000000000001
2015-12-11 03:00:00,6.0,0.0,828.0,11.7,836.0,3,4.300000000000001
2015-12-11 04:00:00,6.0,0.0,826.0,11.5,828.0,4,4.5
2015-12-11 05:00:00,6.0,0.0,835.0,11.3,826.0,5,4.699999999999999
2015-12-11 06:00:00,6.0,0.0,881.0,10.8,835.0,6,5.199999999999999
2015-12-11 07:00:00,6.0,0.0,1186.0,10.5,881.0,7,5.5
2015-12-11 08:00:00,6.0,0.0,1577.0,10.4,1186.0,8,5.6
2015-12-11 09:00:00,6.0,0.0,2050.0,10.5,1577.0,9,5.5
2015-12-11 10:00:00,6.0,0.0,2338.0,11.0,2050.0,10,5.0
2015-12-11 11:00:00,6.0,0.0,2289.0,11.6,2338.0,11,4.4
2015-12-11 12:00:00,6.0,0.0,2190.0,12.0,2289.0,12,4.0
2015-12-11 13:00:00,6.0,0.0,2212.0,13.0,2190.0,13,3.0
2015-12-11 14:00:00,6.0,0.0,2254.0,13.8,2212.0,14,2.1999999999999993
2015-12-11 15:00:00,6.0,0.0,2342.0,13.6,2254.0,15,2.4000000000000004
2015-12-11 16:00:00,6.0,0.0,2276.0,13.8,2342.0,16,2.1999999999999993
2015-12-11 17:00:00,6.0,0.0,2072.0,13.6,2276.0,17,2.4000000000000004
2015-12-11 18:00:00,6.0,0.0,1810.0,13.6,2072.0,18,2.4000000000000004
2015-12-11 19:00:00,6.0,0.0,1505.0,13.8,1810.0,19,2.1999999999999993
2015-12-11 20:00:00,6.0,0.0,1210.0,13.8,1505.0,20,2.1999999999999993
2015-12-11 21:00:00,6.0,0.0,1040.0,13.4,1210.0,21,2.5999999999999996
2015-12-11 22:00:00,6.0,0.0,958.0,12.9,1040.0,22,3.0999999999999996
2015-12-11 23:00:00,6.0,0.0,895.0,12.3,958.0,23,3.6999999999999993
2015-12-12 00:00:00,7.0,0.0,840.0,12.3,895.0,0,3.6999999999999993
2015-12-12 01:00:00,7.0,0.0,830.0,12.2,840.0,1,3.8000000000000007
2015-12-12 02:00:00,7.0,0.0,807.0,12.0,830.0,2,4.0
2015-12-12 03:00:00,7.0,0.0,787.0,11.8,807.0,3,4.199999999999999
2015-12-12 04:00:00,7.0,0.0,773.0,11.4,787.0,4,4.6
2015-12-12 05:00:00,7.0,0.0,752.0,11.0,773.0,5,5.0
